run,method,lr,final_step,val_at_final_step_nats,min_val_nats,g1_accuracy,g8_val_loss_nats,g8_pass,g1_pass
full_ft_lr3.0e-4,full_ft,0.0003,21000,0.007970644392404143,0.006350333442746465,0.9883,9.9579,False,True
full_ft_lr1.0e-4,full_ft,0.0001,25000,0.01081345000131148,0.008425926853252384,0.9863,3.5983,False,True
full_ft_lr3.0e-5,full_ft,3e-05,40000,0.011680748381738996,0.011680748381738996,0.9785,1.2074,False,True
full_ft_lr1.0e-5_ceil40k,full_ft,1e-05,40000,0.08287769723778898,0.08287769723778898,0.8809,1.1431,True,False
full_ft_lr1.0e-5_g1fail,full_ft,1e-05,68000,0.03815753110134949,0.03815753110134949,0.9404,1.1904,False,False
lora_sweep_lr1e-3,lora,0.001,8000,0.03635453095365082,0.03635453095365082,0.9473,1.2549,False,False
lora_sweep_lr3e-4,lora,0.0003,8000,0.09496859062369557,0.09496859062369557,0.8672,1.1379,True,False
lora_sweep_lr1e-4,lora,0.0001,8000,0.5145965254511075,0.5145965254511075,0.3828,1.0842,True,False
lora_sweep_lr3e-5,lora,3e-05,8000,1.0369944619307576,1.0369944619307576,0.0605,1.0756,True,False
lora_parent_lr3e-4,lora,0.0003,24000,0.01679144486290872,0.015626342471425466,0.9775,1.1855,False,True
lora_parent_lr1e-4,lora,0.0001,55000,0.022219666437102423,0.019219561449806414,0.9658,1.1994,False,True
base_evt-run1-base-v3-ext,-,,0,,,0.0,1.0718,True,False
