arm,n,run_id,probe_step_first,probe_margin_first,probe_best_layer_first,probe_step_final,probe_margin_final,probe_best_layer_final,probe_floor,probe_margin_max,probe_margin_half_step_frac,wd_rel_fro,wd_effective_rank,wd_overlap_128,wd_overlap_32,wd_overlap_8,shift_peak_layer,shift_task_at_peak,shift_generic_at_peak,shift_ratio_at_peak,shift_task_cos_at_peak,shift_task_evr_at_peak,jac_actual_gain_nats,jac_best_cos_layer,jac_best_cos,jac_pred_gain_ratio_at_best_cos,jac_pred_gain_ratio_max,cp_T0_answer_best_layer,cp_T0_answer_best_rec,cp_T0_answer_first_layer_ge_half,cp_T0_all_best_layer,cp_T0_all_best_rec,cp_T0_all_first_layer_ge_half,cp_0T_answer_min_layer,cp_0T_answer_min_rec,cp_0T_all_min_layer,cp_0T_all_min_rec,gd_n_steps,gd_grad_early_mass_frac,gd_grad_peak_ratio,gd_grad_half_step_frac,gd_disp_frac_at_10pct,gd_disp_half_step_frac,gd_loss_half_step_frac
base,1000,evt-ts38mt-base-n1000,1,0.31000000000000005,8,133,0.476,8,0.255,0.476,0.45112781954887216,0.016909655372202907,11.967014803153562,0.05109173438042697,0.005869296039486904,0.0006806943486724673,8,1.0651322547150457,0.0460908312750617,23.109417323339866,0.8669511185881645,0.7592885400977257,10.97281277614013,8,0.2451487471223625,1.6233963056739225,1.6233963056739225,8,1.0,2,8,1.0,1,8,0.0,8,0.0,135.0,0.2180707163430104,3.308327266234945,0.4740740740740741,0.1880288313653381,0.404278219505748,0.0444444444444444
pp,1000,evt-ts38mt-pp-n1000,1,0.346,8,109,0.526,8,0.255,0.526,0.6697247706422018,0.013132347817858771,14.672044124850578,0.04135168103317855,0.004097498224663363,0.00041435572288880176,7,1.041314030127079,0.0311418741205294,33.43774450108069,0.8359687965875571,0.7049132642317755,7.870509980943687,8,0.2755827843316592,2.629301764818222,2.629301764818222,8,1.0,3,8,1.0,2,8,0.0,8,0.0,120.0,0.2143372547018733,3.227135283069946,0.55,0.2179467392552976,0.3298196138307963,0.0416666666666666
fmt,1000,evt-ts38mt-fmt-n1000,1,0.32299999999999995,8,109,0.477,8,0.255,0.477,0.44954128440366975,0.015336765046004024,13.539032321589673,0.043875184296758435,0.004955639357502834,0.0005454991536741722,8,1.075463013435929,0.0286714911614749,37.50983886324683,0.8624350418786578,0.7628534760023162,9.4309064368926,4,0.2806230729899648,1.1533285135999791,1.767883452909318,8,1.0,2,8,1.0,1,8,0.0,8,0.0,120.0,0.1343616428001979,2.17533811787455,0.5833333333333334,0.1939856984436208,0.4053071245583363,0.0416666666666666
base,2154,evt-ts38mt-base-n2154,1,0.31000000000000005,8,199,0.517,8,0.255,0.517,0.3015075376884422,0.02087565319154214,10.451179139606843,0.05084313354192141,0.006076018420094591,0.0006760789523378561,8,1.0859192670572573,0.0469020861402003,23.15289908025016,0.8105163301395825,0.6715175295706228,11.151488824597124,8,0.2513575426169229,1.6438124612274436,1.6438124612274436,8,1.0,2,8,1.0,1,8,0.0,8,0.0,205.0,0.2048854108707289,3.5098621485871737,0.5170731707317073,0.2176337138751154,0.365725185466466,0.0292682926829268
pp,2154,evt-ts38mt-pp-n2154,1,0.346,8,163,0.5740000000000001,8,0.255,0.5740000000000001,0.5460122699386503,0.015779948843801277,13.712333291013373,0.043702574639334225,0.004357154620472455,0.0004689759053475823,7,0.9936640043938652,0.029340928251369,33.866140698786594,0.8077030673950111,0.6596755228252796,8.039334297389791,8,0.3000326880609283,2.680764775187243,2.680764775187243,8,1.0,3,8,1.0,2,8,0.0,8,0.0,180.0,0.158742616641454,2.0882227328036094,0.6611111111111111,0.2560983201507642,0.3357374591320154,0.0277777777777777
fmt,2154,evt-ts38mt-fmt-n2154,1,0.32299999999999995,8,163,0.52,8,0.255,0.52,0.44785276073619634,0.017790498731165463,12.24431217702439,0.046560756674693796,0.005407268025182583,0.0005808639019712692,8,1.099869839989639,0.0281874258111007,39.01987529334768,0.8122117499872439,0.6930577403446531,9.64452647318796,4,0.283069928979634,1.240300212211899,1.9732831238157975,8,1.0,2,8,1.0,1,8,0.0,8,0.0,165.0,0.1371360590246073,2.3954882238031425,0.5696969696969697,0.1799369593505239,0.4484405938531164,0.0242424242424242
base,4642,evt-ts38mt-base-n4642,1,0.31000000000000005,8,243,0.554,8,0.255,0.554,0.3004115226337449,0.02304102927619716,9.828619997832101,0.049318876976071735,0.00601752846800637,0.000743845234358365,8,1.1430143324511135,0.0528809395854699,21.61486428590576,0.7670797108009051,0.6046298958568453,11.280118530124671,8,0.2954723477137695,1.9938309732051285,1.9938309732051285,8,1.0,2,8,1.0,1,8,0.0,8,0.0,270.0,0.1892873064607903,3.8590207153996703,0.5074074074074074,0.2617172917294209,0.3152486122914508,0.0222222222222222
pp,4642,evt-ts38mt-pp-n4642,1,0.346,8,363,0.625,8,0.255,0.625,0.3002754820936639,0.02590778167114841,11.654573350804899,0.04330611957325175,0.004677589187439467,0.0005301704304354317,7,0.9808375663213462,0.0305815594036803,32.0728434209051,0.7709685447580271,0.5970868122506342,8.154843189240049,8,0.2936233786312617,2.7301470743965752,2.7301470743965752,8,1.0,4,8,1.0,3,8,0.0,8,0.0,375.0,0.0925120679761168,1.8486697408680528,0.5973333333333334,0.220468141964452,0.3978632472360237,0.016
fmt,4642,evt-ts38mt-fmt-n4642,1,0.32299999999999995,8,199,0.537,8,0.255,0.537,0.36683417085427134,0.020890108307954548,11.357016066245931,0.044924611282012555,0.005057803526262787,0.0005473299602913075,8,1.081707060625851,0.0286914130906089,37.701421578984856,0.7391300556768076,0.5837729860495751,9.725868395367971,4,0.3006777658400911,1.1009782394907313,2.182076845079973,8,1.0,2,8,1.0,1,8,0.0,8,0.0,240.0,0.1126560120251102,2.225704110180632,0.5833333333333334,0.2168230980132885,0.3487014174806776,0.0208333333333333
base,10000,evt-ts38mt-base-n10000,1,0.31000000000000005,8,488,0.625,8,0.255,0.625,0.2520491803278688,0.03731226818124349,8.052239929330636,0.04326624040962052,0.004941912068872712,0.0006196067134478183,8,1.2438627976899514,0.0569738671812367,21.832163748568483,0.7270506725486091,0.5634610001055342,11.562782366378157,8,0.274279850166375,1.986330226134078,1.986330226134078,8,1.0,3,8,1.0,1,8,0.0,8,0.0,580.0,0.1200070086006043,3.4742726989964363,0.55,0.2282377166874265,0.2799120759202623,0.0103448275862068
pp,10000,evt-ts38mt-pp-n10000,1,0.346,8,614,0.648,8,0.255,0.648,0.2003257328990228,0.03482826752043614,11.289188643038695,0.04461809271125546,0.004666873075420962,0.000475904432637374,8,1.0279640325761266,0.0411500944019547,24.980842632703574,0.6620854108019325,0.4582538172123765,8.221693976540715,8,0.2894073471621802,2.790322816005028,2.790322816005028,8,1.0,5,8,1.0,3,8,0.0,8,0.0,700.0,0.0682828744439937,2.333297490060566,0.5057142857142857,0.2255596761649411,0.3174105375173868,0.0085714285714285
fmt,10000,evt-ts38mt-fmt-n10000,1,0.32299999999999995,8,388,0.594,8,0.255,0.594,0.25257731958762886,0.03243169830669687,9.331346898791638,0.03930541795515847,0.0041811381689321366,0.00048264935610854617,8,1.19972612757506,0.0371820064354526,32.266309502629085,0.7203839964328738,0.5542185658562324,9.925215147010972,8,0.2883004534595412,2.359144254470087,2.359144254470087,8,1.0,2,8,1.0,1,8,0.0,8,0.0,470.0,0.0884411760486287,2.267220640226521,0.5702127659574469,0.1979434041601357,0.2950743113759477,0.0106382978723404
base,21544,evt-ts38mt-base-n21544,1,0.31000000000000005,8,1619,0.694,8,0.255,0.694,0.08956145768993205,0.10339390908675059,6.871173547303404,0.03409273420531818,0.0032419935011314812,0.0004254862769649176,8,1.632697134658983,0.1193985900446765,13.674341833082462,0.539375801347906,0.3475461894150677,11.746288333742005,8,0.3467880139015944,3.281699255815929,3.281699255815929,8,1.0,3,8,1.0,1,8,0.0,8,0.0,1825.0,0.0724456411590914,2.609227342487692,0.5495890410958905,0.1573413929376575,0.436649321885715,0.0038356164383561
pp,21544,evt-ts38mt-pp-n21544,1,0.346,8,947,0.682,8,0.255,0.682,0.11721224920802534,0.04354525418550175,11.194617730755013,0.04520586975565655,0.004802497388790906,0.00046156620691929285,8,1.090649715080156,0.0524252450137384,20.803903058428123,0.6280874888982559,0.4284120290388917,8.383550837582765,8,0.3132830559350618,3.100768749953453,3.100768749953453,8,1.0,5,8,1.0,3,8,0.0,8,0.0,1225.0,0.070745420894,3.080361763750417,0.4497959183673469,0.2687970833400588,0.2180272337307144,0.0048979591836734
fmt,21544,evt-ts38mt-fmt-n21544,1,0.32299999999999995,8,1619,0.682,8,0.255,0.682,0.08956145768993205,0.10490318360855751,7.564957381090631,0.03192495206266969,0.0029469544457780194,0.00034944403658802566,8,1.715282293804045,0.1024579610914005,16.741327618981988,0.5124331334919673,0.3366773002086585,10.115386028885217,8,0.3525052052485993,4.080509735860337,4.080509735860337,8,1.0,2,8,1.0,1,8,0.0,8,0.0,1900.0,0.0568453794823229,1.5650534617691887,0.5426315789473685,0.1845327283511918,0.3907976402480976,0.0078947368421052
base,46416,evt-ts38mt-base-n46416,1,0.31000000000000005,8,3295,0.696,8,0.255,0.696,0.049165402124430956,0.13217989171745848,8.010852115561969,0.034015287524243154,0.003392862466910312,0.0004839674519609032,8,1.5720186691385958,0.1448927207042298,10.849535169869334,0.5179876118765804,0.3515129781624714,11.79359008922295,8,0.3923222659747433,3.613906764796527,3.613906764796527,8,1.0,4,8,1.0,2,8,0.0,8,0.0,3520.0,0.0801986522385878,4.185010106755263,0.4585227272727272,0.1868948128282412,0.2918124661138929,0.0019886363636363
pp,46416,evt-ts38mt-pp-n46416,1,0.346,8,1335,0.694,8,0.255,0.695,0.0898876404494382,0.04890197110765989,11.101152886891711,0.04706186650409641,0.005080641039753584,0.0005041865128721793,8,1.1041413572586982,0.0608598274364118,18.142367531559938,0.631301902900475,0.4176091566022492,8.40961559519903,8,0.32206819437228,3.213715350021598,3.213715350021598,8,1.0,5,8,1.0,3,8,0.0,8,0.0,1650.0,0.0831175200926355,3.5382553512540205,0.4218181818181818,0.2985040968405866,0.1935042675192962,0.0036363636363636
fmt,46416,evt-ts38mt-fmt-n46416,1,0.32299999999999995,8,2438,0.713,8,0.255,0.713,0.06644790812141099,0.12564546710160263,7.97645506773636,0.03225288085712467,0.002929868114085026,0.0003594289781260891,8,1.600191465677417,0.1333846688506905,11.996817021517336,0.5032468555220957,0.3261735017488074,10.197546903356598,8,0.3661670808930601,3.927204170819103,3.927204170819103,8,1.0,2,8,1.0,1,8,0.0,8,0.0,3080.0,0.0616770581877453,2.1432678586711766,0.4551948051948052,0.2054473481003789,0.2745571978928583,0.0048701298701298
base,100000,evt-ts38mt-base-n100000,1,0.31000000000000005,8,4543,0.717,8,0.255,0.717,0.04248294078802553,0.14778255205668503,8.848988837157426,0.03545772408295948,0.003870152355309761,0.000587151703847997,8,1.76046262146611,0.2893421349732987,6.084363142024132,0.4747127322479523,0.3347152347391027,11.821464797173762,8,0.4412606106344625,4.509266053279317,4.509266053279317,8,1.0,4,8,1.0,2,8,0.0,8,0.0,5000.0,0.0874640351678758,5.016593444758154,0.4316,0.2364071915436607,0.2247113843471069,0.0014
pp,100000,evt-ts38mt-pp-n100000,1,0.346,8,2416,0.716,8,0.255,0.716,0.05836092715231788,0.0643540846592271,11.83926338729421,0.044649855193513444,0.004918253229055947,0.0004408812952111108,8,1.1740578060703446,0.0740640399821797,15.851927687887816,0.5951960692459874,0.3830872479679641,8.455955305604407,8,0.3444530749709279,3.5974819952291663,3.5974819952291663,8,1.0,5,8,1.0,3,8,0.0,8,0.0,3125.0,0.1318233258926865,6.165082117578926,0.3856,0.3404350370021574,0.1508384730720971,0.00192
fmt,100000,evt-ts38mt-fmt-n100000,1,0.32299999999999995,8,6230,0.717,8,0.255,0.719,0.030979133226324236,0.1598698387379387,9.959543469679165,0.034692872921258736,0.0035880983261520672,0.0005030301115074069,8,1.849591868956659,0.1812925173058412,10.202251568035708,0.4322178608046969,0.3534684448852793,10.238612202353178,8,0.4015586564295472,4.950454736823326,4.950454736823326,8,1.0,2,8,1.0,1,8,0.0,8,0.0,6375.0,0.0906491720152856,3.2320308769021016,0.4100392156862745,0.2134311201777571,0.1860482506125501,0.0025098039215686
base,146780,evt-ts38mt-base-n146780,1,0.31000000000000005,8,5844,0.718,8,0.255,0.718,0.026009582477754964,0.16117754475803905,9.555913164019124,0.03614458087214433,0.0038894199707746875,0.0005574570364618515,8,1.7564367296848873,0.278660858520326,6.303133992378659,0.4665128604250503,0.3427464571419253,11.849272243671573,8,0.4354755425461566,4.467634805932742,4.467634805932742,8,1.0,4,8,1.0,2,8,0.0,8,0.0,6475.0,0.0962966546040642,5.133362391676571,0.4196138996138996,0.2360858642249344,0.1883930012033877,0.001081081081081
